nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
stems,have,has,a few stems with final falling accent have long high stress for the purposes of word formation .,a few stems with final falling accent [MASK] long high stress for the purposes of word formation .,have,have,18,5,1,1,7,1,1,,
acts,exist,exists,"acts of the martyrs relating the legend of chrysanthus and daria exist in a greek and in latin versions , dating from the fifth century and all without historical value , according to the catholic encyclopedia .","acts of the martyrs relating the legend of chrysanthus and daria [MASK] in a greek and in latin versions , dating from the fifth century and all without historical value , according to the catholic encyclopedia .",exists,exists,37,11,2,1,11,1,5,,
chapters,include,includes,"two other chapters , an introduction and conclusion , include analyses and summaries of the ten projects that were nominated as well as all submitted projects .","two other chapters , an introduction and conclusion , [MASK] analyses and summaries of the ten projects that were nominated as well as all submitted projects .",include,include,27,7,2,0,9,2,2,,
honors,include,includes,"his honors as a poet include a 1989 guggenheim fellowship , the new yorker , the nation and the poetry foundation website .","his honors as a poet [MASK] a 1989 guggenheim fellowship , the new yorker , the nation and the poetry foundation website .",include,include,23,4,1,0,5,1,1,,
properties,make,makes,the healing properties of the tree make it useful in treating domestic animals .,the healing properties of the tree [MASK] it useful in treating domestic animals .,make,make,14,4,2,0,6,2,1,,
sources,show,shows,delete unless sources providing some sort of notability show up .,delete unless sources providing some sort of notability [MASK] up .,show,show,11,6,2,2,8,2,1,,
cables,have,has,the cables for connecting equipment together have a male plug at each end .,the cables for connecting equipment together [MASK] a male plug at each end .,have,have,14,5,1,1,6,1,2,,
dealers,prefer,prefers,some dealers on the other hand prefer documentary transactions because of the security concerns with cash .,some dealers on the other hand [MASK] documentary transactions because of the security concerns with cash .,prefer,prefer,17,5,1,0,6,1,1,,
ads,show,shows,"life magazine ads from 1940 and 1959 , while not providing notability , show a continued existence in that era of dazey as a brand or company selling can openers , ice crushers , nut crackers and knife sharpeners .","life magazine ads from 1940 and 1959 , while not providing notability , [MASK] a continued existence in that era of dazey as a brand or company selling can openers , ice crushers , nut crackers and knife sharpeners .",show,show,40,11,2,1,13,2,2,,
contributors,perform,performs,i suggest that the primary contributors to this and the fa  class beagle article perform a merge of the appropriate content into a prose section and then redirect or delete the article .,i suggest that the primary contributors to this and the fa  class beagle article [MASK] a merge of the appropriate content into a prose section and then redirect or delete the article .,perform,perform,34,10,3,1,15,3,1,,
actions,indicate,indicates,their actions and tone indicate that they 're not taking this seriousely .,their actions and tone [MASK] that they 're not taking this seriousely .,indicate,indicate,13,3,1,0,4,1,1,,
operators,satisfy,satisfies,the fundamental operators corresponding to position and momentum satisfy the heisenberg commutation relations .,the fundamental operators corresponding to position and momentum [MASK] the heisenberg commutation relations .,satisfy,satisfy,14,6,2,1,8,2,1,,
studies,show,shows,"regional archaeological studies in the area show that even larger nucleated villages existed towards the western slope of the sierra nevada de santa marta , like posiguieca and ciudad antigua .","regional archaeological studies in the area [MASK] that even larger nucleated villages existed towards the western slope of the sierra nevada de santa marta , like posiguieca and ciudad antigua .",show,show,31,4,1,0,6,1,1,,
people,find,finds,some people pushing a political agenda find it convenient to dismiss sources disagreeing with their position as being affiliated with that evil tribe down the river .,some people pushing a political agenda [MASK] it convenient to dismiss sources disagreeing with their position as being affiliated with that evil tribe down the river .,find,find,27,5,1,1,6,1,1,,
sources,note,notes,"sources that on the surface only discuss only one incident , in fact note the existence of trends , antisemitic canards , etc .","sources that on the surface only discuss only one incident , in fact [MASK] the existence of trends , antisemitic canards , etc .",note,notes,24,13,3,1,13,3,1,,
saints,coach,coaches,"the saints , led by third year head coach mitch buonaguro , played their home games at the times union center and were members of the metro atlantic athletic conference .","the saints , led by third year head [MASK] mitch buonaguro , played their home games at the times union center and were members of the metro atlantic athletic conference .",coach,coach,31,7,2,1,8,2,1,,
dates,include,includes,"the orange county , us , dates of the contest series include the us pro men 's and women 's street championships , the us pro vert championships , and the maloof money cup am championships .","the orange county , us , dates of the contest series [MASK] the us pro men 's and women 's street championships , the us pro vert championships , and the maloof money cup am championships .",include,include,37,5,3,0,11,3,1,,
flags,represent,represents,united states navy the three flags near the bottom represent the letters hst .,united states navy the three flags near the bottom [MASK] the letters hst .,represent,represent,14,4,1,1,9,1,1,,
students,attend,attends,students in the 7th grade and above attend west lafayette junior  senior high school .,students in the 7th grade and above [MASK] west lafayette junior  senior high school .,attend,attend,16,7,1,0,7,1,3,,
articles,exist,exists,"and again , articles about french colonization already exist .","and again , articles about french colonization already [MASK] .",exist,exist,10,5,1,0,8,1,2,,
plans,go,goes,the original plans for the stadium however go back to 1926 .,the original plans for the stadium however [MASK] back to 1926 .,go,go,12,5,1,0,7,1,2,,
miles,feature,features,the remaining sixteen miles of this highway in north dakota and the united states feature intersections with a couple county roads before the canadian border .,the remaining sixteen miles of this highway in north dakota and the united states [MASK] intersections with a couple county roads before the canadian border .,features,feature,26,11,1,1,14,1,8,,
designers,include,includes,"well  known designers who got their start at happy cog include jason santa maria , ethan marcotte , rob weychert , and daniel mall .","well  known designers who got their start at happy cog [MASK] jason santa maria , ethan marcotte , rob weychert , and daniel mall .",include,include,26,8,2,2,11,2,1,,
sources,deny,denies,"poshepny sometimes claimed that he personally escorted the 14th dalai lama out of tibet , but sources in the tibetan exile deny this .","poshepny sometimes claimed that he personally escorted the 14th dalai lama out of tibet , but sources in the tibetan exile [MASK] this .",deny,deny,24,5,2,2,21,2,8,,
remnants,remain,remains,"the old moat remains , while some remnants of the town wall remain on the south and east side of the old town .","the old moat remains , while some remnants of the town wall [MASK] on the south and east side of the old town .",remain,remain,24,5,3,1,12,3,1,,
participants,express,expresses,"the participants exposed to inclusive entrepreneurship through start  up ny and sba prime frequently express that they have more opportunity to exercise creative freedoms , develop higher self  esteem , better financial literacy , and an overall greater sense of control over their own lives .","the participants exposed to inclusive entrepreneurship through start  up ny and sba prime frequently [MASK] that they have more opportunity to exercise creative freedoms , develop higher self  esteem , better financial literacy , and an overall greater sense of control over their own lives .",express,express,48,14,3,2,15,3,2,,
songs,remain,remains,"the most emblematic songs , one religious and one secular , remain o mburonjë e shqipëris and o e bukura more .","the most emblematic songs , one religious and one secular , [MASK] o mburonjë e shqipëris and o e bukura more .",remain,remain,22,8,0,0,11,0,none,,
highways,include,includes,"other highways in the area include us 264 , nc 97 , and nc 231 .","other highways in the area [MASK] us 264 , nc 97 , and nc 231 .",include,include,16,4,1,0,5,1,1,,
procedures,make,makes,"modern procedures , with hindsight , make it clear what the obvious errors were .","modern procedures , with hindsight , [MASK] it clear what the obvious errors were .",make,make,15,5,1,0,6,1,2,,
accounts,include,includes,"the accounts of the company include th results of corporate operations for the period april 1 , 1890 , to june 30 , 1897 .","the accounts of the company [MASK] th results of corporate operations for the period april 1 , 1890 , to june 30 , 1897 .",include,include,25,4,1,0,5,1,1,,
buildings,include,includes,"notable buildings in the surrounding area include ragley hall , at nearby arrow and the remains of oversley castle , near wixford .","notable buildings in the surrounding area [MASK] ragley hall , at nearby arrow and the remains of oversley castle , near wixford .",include,include,23,5,1,1,6,1,1,,
commentators,believe,believes,commentators with an esoteric slant believe that the ultimate meaning of the quran is known only to god .,commentators with an esoteric slant [MASK] that the ultimate meaning of the quran is known only to god .,believe,believe,19,5,1,0,5,1,1,,
parts,stand,stands,"christ church hindpool methodism 1875 opened in 1875 , the christ church methodist new connexion was almost completely destoyed by world war ii bombing , small parts of the lower church still stand today and house a gym .","christ church hindpool methodism 1875 opened in 1875 , the christ church methodist new connexion was almost completely destoyed by world war ii bombing , small parts of the lower church still [MASK] today and house a gym .",stand,stands,39,6,3,2,32,3,31,,
villages,include,includes,important villages on the loch include arrochar at its head and cove on the east shore near its foot .,important villages on the loch [MASK] arrochar at its head and cove on the east shore near its foot .,include,include,20,4,0,0,5,0,none,,
features,include,includes,longstanding features of the site include hexus .,longstanding features of the site [MASK] hexus .,include,include,8,4,1,0,5,1,1,,
glaciers,have,has,"two smaller glaciers in the immediate region also have the same species of grasshoppers entombed in their ice , one is also named grasshopper glacier and the other simply hopper glacier .","two smaller glaciers in the immediate region also [MASK] the same species of grasshoppers entombed in their ice , one is also named grasshopper glacier and the other simply hopper glacier .",have,have,32,6,1,0,8,1,2,,
soils,tend,tends,"thus soils on the brow of the hill tend to be shallower than those in mid  slope positions , where soil is moving down , but being replaced by material from above .","thus soils on the brow of the hill [MASK] to be shallower than those in mid  slope positions , where soil is moving down , but being replaced by material from above .",tend,tend,34,7,2,0,8,2,1,,
archives,provide,provides,"although the archives in this collection provide first  hand knowledge and useful information about the camarillo state hospital , due to california state law no personal records or confidential information is allowed to be released to anyone other than the subject , without authorization .","although the archives in this collection [MASK] first  hand knowledge and useful information about the camarillo state hospital , due to california state law no personal records or confidential information is allowed to be released to anyone other than the subject , without authorization .",provide,provide,46,4,1,0,6,1,1,,
visitors,tend,tends,"visitors to the port tend to be mostly tourists from northern europe ( especially united kingdom ) and arabs ( especially kuwait and saudi arabia ) , along with spanish tourists .","visitors to the port [MASK] to be mostly tourists from northern europe ( especially united kingdom ) and arabs ( especially kuwait and saudi arabia ) , along with spanish tourists .",tend,tend,32,4,1,0,4,1,1,,
factors,include,includes,significant factors in the development of armour include the economic and technological necessities of armour production .,significant factors in the development of armour [MASK] the economic and technological necessities of armour production .,include,include,17,6,2,0,7,2,1,,
cardinals,pick,picks,louis cardinals in the second round ( 34th pick overall ) of the 1987 nfl draft .,louis cardinals in the second round ( 34th [MASK] overall ) of the 1987 nfl draft .,pick,pick,17,7,1,0,8,1,3,,
children,do,does,many children from the village attend and so do those from places as far as leulumoega to falelatai .,many children from the village attend and so [MASK] those from places as far as leulumoega to falelatai .,do,do,19,7,1,1,8,1,4,,
nikes,help,helps,"marsha walton , 'how nikes , toys and hockey gear help ocean science ' , cnn .","marsha walton , 'how nikes , toys and hockey gear [MASK] ocean science ' , cnn .",help,help,17,6,2,0,10,1,2,,
kinds,appear,appears,"at this point , different kinds of footage of katie appear on screen ; sandra looks at tape recordings of katie on her tv .","at this point , different kinds of footage of katie [MASK] on screen ; sandra looks at tape recordings of katie on her tv .",appear,appears,25,5,2,0,10,2,3,,
investigators,live,lives,"police investigators in the case now live in the files , but charles believes he has detected in the accident , the television actress , she falls in love with him and a series of disastrous complications take its course    contrary to a dramatic end .","police investigators in the case now [MASK] in the files , but charles believes he has detected in the accident , the television actress , she falls in love with him and a series of disastrous complications take its course    contrary to a dramatic end .",live,live,49,5,2,0,6,2,2,,
fields,include,includes,"his fields of study include differential geometry , relativity , and the foundations of physics .","his fields of study [MASK] differential geometry , relativity , and the foundations of physics .",include,include,16,3,1,0,4,1,1,,
speakeasies,suggest,suggests,"when one of his illegal speakeasies is destroyed , articles in the future suggest that kid kills doc brown for the act , forcing marty to break him out .","when one of his illegal speakeasies is destroyed , articles in the future [MASK] that kid kills doc brown for the act , forcing marty to break him out .",suggests,suggest,30,8,2,1,13,1,1,,
cadets,wear,wears,cadets in the university officers ' training corps wear zero to three horizontal bars on the rank slide .,cadets in the university officers ' training corps [MASK] zero to three horizontal bars on the rank slide .,wear,wear,19,8,4,0,8,3,1,,
places,indicate,indicates,"places where craft economic activity is taking place indicate strong linkages between sociopolitical organization and societal complexity ( bayman , 1999 ) .","places where craft economic activity is taking place [MASK] strong linkages between sociopolitical organization and societal complexity ( bayman , 1999 ) .",indicate,indicate,23,8,3,1,8,3,1,,
sources,include,includes,sources of inspiration for the constitution include the constitution of norway of 1814 and the constitution of belgium .,sources of inspiration for the constitution [MASK] the constitution of norway of 1814 and the constitution of belgium .,include,include,19,6,2,0,6,2,1,,
names,include,includes,"other names in common use include oxalyl coenzyme a decarboxylase , and oxalyl  coa carboxy  lyase .","other names in common use [MASK] oxalyl coenzyme a decarboxylase , and oxalyl  coa carboxy  lyase .",include,include,19,4,1,0,5,1,1,,
names,include,includes,"other names in common use include acylneuraminate 9  phosphatase , n  acylneuraminic acid 9  phosphate phosphatase , and n  acylneuraminic ( sialic ) acid 9  phosphatase .","other names in common use [MASK] acylneuraminate 9  phosphatase , n  acylneuraminic acid 9  phosphate phosphatase , and n  acylneuraminic ( sialic ) acid 9  phosphatase .",include,include,32,4,1,0,5,1,1,,
rooms,have,has,the rooms on this level have high ceilings .,the rooms on this level [MASK] high ceilings .,have,have,9,4,1,0,5,1,1,,
counties,have,has,four counties in the middle of the state have earthquake history .,four counties in the middle of the state [MASK] earthquake history .,have,have,12,7,2,0,8,2,1,,
photons,have,has,"i will give you a hint ; photons as electromagnetic energy have no mass , and can even travel through two slits at the same time ( ie .","i will give you a hint ; photons as electromagnetic energy [MASK] no mass , and can even travel through two slits at the same time ( ie .",has,have,29,4,2,1,11,2,1,,
devices,allow,allows,"new imaging devices , such as the ccd ( charge  coupled device ) camera installed in 1990 , and the short focal length of the telescope allow researchers to obtain wide  field views of the sky to very faint limits .","new imaging devices , such as the ccd ( charge  coupled device ) camera installed in 1990 , and the short focal length of the telescope [MASK] researchers to obtain wide  field views of the sky to very faint limits .",allow,allow,43,25,6,3,27,6,1,,
functions,go,goes,"however , the work functions of the maritime pilot go back to ancient greece and roman times , when locally experienced harbour captains , mainly local fishermen , were employed by incoming ships captains to safely bring into port their trading vessels .","however , the work functions of the maritime pilot [MASK] back to ancient greece and roman times , when locally experienced harbour captains , mainly local fishermen , were employed by incoming ships captains to safely bring into port their trading vessels .",go,go,43,5,3,0,9,3,1,,
examples,include,includes,examples still in production include the fortier 26 and the dyer 29 .,examples still in production [MASK] the fortier 26 and the dyer 29 .,include,include,13,4,1,0,4,1,1,,
works,reach,reaches,"second of all , his works today reach very high prices , placing him well above the notability minimum for artists .","second of all , his works today [MASK] very high prices , placing him well above the notability minimum for artists .",reach,reach,22,2,1,0,7,1,1,,
differences,exist,exists,it seems that differences of opinion exist on how ( and how frequently ) one should use standard wikipedia whom   tags .,it seems that differences of opinion [MASK] on how ( and how frequently ) one should use standard wikipedia whom   tags .,exist,exist,24,3,1,1,6,1,1,,
areas,include,includes,"his primary areas of research include the philosophy of language and the philosophy of logic ; he also works in metaphysics , model theory , and the philosophy of mathematics , with an interest in the works of gottlob frege .","his primary areas of research [MASK] the philosophy of language and the philosophy of logic ; he also works in metaphysics , model theory , and the philosophy of mathematics , with an interest in the works of gottlob frege .",include,include,41,3,1,0,5,1,1,,
gardens,include,includes,"major gardens within the estate include the birch allee vista , breakfast room garden , the dell , english garden , grape arbor , great garden , great meadow , japanese garden , lagoon , and west terrace .","major gardens within the estate [MASK] the birch allee vista , breakfast room garden , the dell , english garden , grape arbor , great garden , great meadow , japanese garden , lagoon , and west terrace .",include,include,39,4,1,0,5,1,1,,
researchers,depend,depends,"snow faced , and researchers today depend on modern gis and other computer mapping applications to assist in their analyses .","snow faced , and researchers today [MASK] on modern gis and other computer mapping applications to assist in their analyses .",depend,depend,21,2,2,1,6,2,1,,
bedrooms,provide,provides,bedrooms on the attic storey provide accommodaton for members .,bedrooms on the attic storey [MASK] accommodaton for members .,provide,provide,10,5,1,0,5,1,1,,
editors,have,has,"july 2006 ( utc ) note that the editors in question have a poor grasp of writing in english , and many of their additions are deleted because they simply do not make any sense .","july 2006 ( utc ) note that the editors in question [MASK] a poor grasp of writing in english , and many of their additions are deleted because they simply do not make any sense .",have,have,36,3,2,1,11,2,1,,
arguments,appear,appears,"this should not be a problem as based on the arguments above , the editors suggesting delisting of this article as a featured article appear to have a significant understanding of the material covered .","this should not be a problem as based on the arguments above , the editors suggesting delisting of this article as a featured article [MASK] to have a significant understanding of the material covered .",appear,appears,35,14,4,4,24,3,5,,
accusations,have,has,"unfounded accusations of anti  americanism and bullying have no place here , and are seriously disrupting wikipedia and wasting everyone 's time .","unfounded accusations of anti  americanism and bullying [MASK] no place here , and are seriously disrupting wikipedia and wasting everyone 's time .",has,have,24,7,1,1,8,1,3,,
parasites,include,includes,known parasites of the giant electric ray include the tapeworms acanthobothrium franus and a .,known parasites of the giant electric ray [MASK] the tapeworms acanthobothrium franus and a .,include,include,15,6,1,1,7,1,1,,
antidepressants,need,needs,"pmid 20202203dbs for treatment resistant depression can be as effective as antidepressants , with good response and remission rates , but adverse effects and safety need to be more fully evaluated .","pmid 20202203dbs for treatment resistant depression can be as effective as antidepressants , with good response and remission rates , but adverse effects and safety [MASK] to be more fully evaluated .",need,need,32,14,7,0,25,5,1,,
names,think,thinks,"not names that trip off my tongue when i think of publishers , though i could be underinformed .","not names that trip off my tongue when i [MASK] of publishers , though i could be underinformed .",think,think,19,8,1,1,9,1,3,,
services,bring,brings,free bus services and special new year 's eve taxis ( the responsible young drivers ) bring everyone home afterwards .,free bus services and special new year 's eve taxis ( the responsible young drivers ) [MASK] everyone home afterwards .,bring,bring,21,14,5,0,16,4,7,,
lenses,exist,exists,lenses of silicic tuff exist as evidence of limited volcanism .,lenses of silicic tuff [MASK] as evidence of limited volcanism .,exists,exist,11,4,1,0,4,1,2,,
effects,differ,differs,"in summary , the effects of response  dependent drug dosing greatly differ from response  independent drug dosing and self  administration studies appropriately capture this distinction .","in summary , the effects of response  dependent drug dosing greatly [MASK] from response  independent drug dosing and self  administration studies appropriately capture this distinction .",differs,differ,29,8,3,1,12,3,3,,
grandsons,include,includes,"grandsons and granddaughter of roger include jason mattia , michael mattia , and amanda vallee .","grandsons and granddaughter of roger [MASK] jason mattia , michael mattia , and amanda vallee .",include,include,16,5,1,0,5,1,3,,
architects,include,includes,"architects who contributed to the neighborhood include cass gilbert , j .","architects who contributed to the neighborhood [MASK] cass gilbert , j .",include,include,12,6,1,1,6,1,1,,
locations,include,includes,"locations where waste can be found include landfills , junkyards , on water surfaces and anywhere around towns or near highways .","locations where waste can be found [MASK] landfills , junkyards , on water surfaces and anywhere around towns or near highways .",include,include,22,6,1,1,6,1,4,,
names,include,includes,alternative names for the dry lake include alkali flat and playa .,alternative names for the dry lake [MASK] alkali flat and playa .,include,include,12,5,1,0,6,1,1,,
students,fly,flies,"students assigned to the multi  engine turboprop track fly the t  44 pegasus turboprop trainers at nas corpus christi , texas , and will eventually fly the c  130 hercules .","students assigned to the multi  engine turboprop track [MASK] the t  44 pegasus turboprop trainers at nas corpus christi , texas , and will eventually fly the c  130 hercules .",fly,fly,34,9,3,1,9,3,1,,
advocates,say,says,advocates such as economist robert fogel say it happened in the late 1960s and early 1970s .,advocates such as economist robert fogel [MASK] it happened in the late 1960s and early 1970s .,say,says,17,6,1,0,6,1,3,,
versions,appear,appears,edited versions of this translation appear at wikisource and mary jones ' celtic literature collective .,edited versions of this translation [MASK] at wikisource and mary jones ' celtic literature collective .,appear,appear,16,4,1,0,5,1,1,,
articles,do,does,"it doesnt appear in pubmed for some strange reason , although other articles from this journal do .","it doesnt appear in pubmed for some strange reason , although other articles from this journal [MASK] .",do,does,18,4,1,2,16,1,8,,
attributes,include,includes,"attributes of an athletic shoe include a flexible sole , appropriate tread for the function , and ability to absorb impact .","attributes of an athletic shoe [MASK] a flexible sole , appropriate tread for the function , and ability to absorb impact .",include,include,22,5,1,0,5,1,1,,
pages,suggest,suggests,the profile pages and the fact it is a mainstream console game suggest notability .,the profile pages and the fact it is a mainstream console game [MASK] notability .,suggests,suggest,15,10,5,0,12,5,1,,
cartels,require,requires,"cartels that rely on drug trafficking for income require a secure supply via the center of the gang , but los zetas franchises can thrive by relying on non  drug activities .","cartels that rely on drug trafficking for income [MASK] a secure supply via the center of the gang , but los zetas franchises can thrive by relying on non  drug activities .",requires,requires,33,8,3,1,8,3,1,,
statistics,use,uses,but the source also contains statistics that standard works on the history of egypt also use .,but the source also contains statistics that standard works on the history of egypt also [MASK] .,use,use,17,10,2,2,15,2,4,,
areas,include,includes,"his areas of teaching and research include international law , international relations , ethics , globalization and the notion of progress .","his areas of teaching and research [MASK] international law , international relations , ethics , globalization and the notion of progress .",include,include,22,5,2,0,6,2,1,,
characters,appear,appears,"though beginning with a new narrator , four main characters from the original story appear again .","though beginning with a new narrator , four main characters from the original story [MASK] again .",appear,appear,17,5,2,1,14,2,1,,
compounds,contain,contains,organocopper compounds in organometallic chemistry contain carbon to copper chemical bonds .,organocopper compounds in organometallic chemistry [MASK] carbon to copper chemical bonds .,contain,contains,12,4,2,0,5,2,1,,
employers,include,includes,large employers in the district include the louis armstrong international airport and esplanade mall .,large employers in the district [MASK] the louis armstrong international airport and esplanade mall .,include,include,15,4,1,0,5,1,1,,
elites,affect,affects,"green also notes that with globalization , the western power elites are exporting new ideas and new technologies to other cultures and societies around the world , and these societies in turn affect the way the technology is used .","green also notes that with globalization , the western power elites are exporting new ideas and new technologies to other cultures and societies around the world , and these societies in turn [MASK] the way the technology is used .",affects,affect,40,22,9,2,32,4,1,,
elements,have,has,"two mechanical elements , one that is stationary ( the stator ) and one that is movable ( the rotor ) have two different voltages applied to them , which creates an electric field .","two mechanical elements , one that is stationary ( the stator ) and one that is movable ( the rotor ) [MASK] two different voltages applied to them , which creates an electric field .",has,has,35,19,4,0,21,4,2,,
cities,include,includes,"important cities it passes through in a north  south direction include oshikango , ondangwa , tsumeb , otavi , otjiwarongo , okahandja , windhoek , rehoboth , mariental , keetmanshoop and noordoewer .","important cities it passes through in a north  south direction [MASK] oshikango , ondangwa , tsumeb , otavi , otjiwarongo , okahandja , windhoek , rehoboth , mariental , keetmanshoop and noordoewer .",include,include,34,10,2,1,11,2,1,,
survivors,include,includes,survivors of the massacre include lt .,survivors of the massacre [MASK] lt .,include,include,7,4,1,0,4,1,1,,
aspects,include,includes,"key aspects of the course include climbing and ropework techniques , patrolling and amphibious warfare operations .","key aspects of the course [MASK] climbing and ropework techniques , patrolling and amphibious warfare operations .",include,include,17,4,1,0,5,1,1,,
guests,include,includes,"past guests of note include such political figures as margaret thatcher , jimmy carter , henry kissinger , george stephanopoulos , george shultz , cyrus vance ( and many members of the senate and house of representatives ) .","past guests of note [MASK] such political figures as margaret thatcher , jimmy carter , henry kissinger , george stephanopoulos , george shultz , cyrus vance ( and many members of the senate and house of representatives ) .",include,include,39,3,1,0,4,1,1,,
results,have,has,"while merely pointing to search results is insufficient to establish notability under the general notability guideline , the arguments for notability independent of sourcing have precedent and have not been convincingly addressed .","while merely pointing to search results is insufficient to establish notability under the general notability guideline , the arguments for notability independent of sourcing [MASK] precedent and have not been convincingly addressed .",has,has,33,19,6,3,24,5,14,,
painters,include,includes,painters represented in the art collection include addie l .,painters represented in the art collection [MASK] addie l .,include,include,10,6,2,1,6,2,1,,
landmarks,include,includes,"notable landmarks seen from the train include mount timpanogos , cascade mountain , deer creek dam and reservoir , provo river , sundance ski resort , tate barn , and soldier hollow .","notable landmarks seen from the train [MASK] mount timpanogos , cascade mountain , deer creek dam and reservoir , provo river , sundance ski resort , tate barn , and soldier hollow .",include,include,33,5,1,1,6,1,1,,
bowlers,use,uses,"cricket bowlers , since they are not restricted to a small strike zone as their target , also use a wide variety of approaches which are not available to baseball pitchers .","cricket bowlers , since they are not restricted to a small strike zone as their target , also [MASK] a wide variety of approaches which are not available to baseball pitchers .",use,use,32,17,4,1,18,4,3,,
trains,run,runs,"trains from the station run eastbound to dartford , gravesend and to london cannon street via slade green , and westbound to cannon street and london charing cross via lewisham .","trains from the station [MASK] eastbound to dartford , gravesend and to london cannon street via slade green , and westbound to cannon street and london charing cross via lewisham .",run,run,31,4,1,0,4,1,1,,
members,band,bands,members of the rap music band public enemy .,members of the rap music [MASK] public enemy .,band,band,9,5,2,0,5,2,1,,
names,include,includes,"other names in common use include alpha  hydroxynitrile lyase , hydroxynitrile lyase , acetone  cyanhydrin lyase [ mis  spelt ] , acetone  cyanohydrin acetone  lyase , oxynitrilase , 2  hydroxyisobutyronitrile acetone  lyase , 2  hydroxyisobutyronitrile acetone  lyase ( cyanide  forming ) , and acetone  cyanohydrin lyase .","other names in common use [MASK] alpha  hydroxynitrile lyase , hydroxynitrile lyase , acetone  cyanhydrin lyase [ mis  spelt ] , acetone  cyanohydrin acetone  lyase , oxynitrilase , 2  hydroxyisobutyronitrile acetone  lyase , 2  hydroxyisobutyronitrile acetone  lyase ( cyanide  forming ) , and acetone  cyanohydrin lyase .",include,include,58,4,1,0,5,1,1,,
towns,include,includes,"major towns in the armagnac region include eauze , cazaubon and nogaro .","major towns in the armagnac region [MASK] eauze , cazaubon and nogaro .",includes,include,13,5,2,0,6,2,1,,
surveyors,wind,winds,"in 2011 , surveyors conducting a detailed preparatory survey of the sea floor for the neart na gaoithe offshore wind farm published sonar images of the wrecks of the two submarines    k  4 and k  17    sunk during the accident .","in 2011 , surveyors conducting a detailed preparatory survey of the sea floor for the neart na gaoithe offshore [MASK] farm published sonar images of the wrecks of the two submarines    k  4 and k  17    sunk during the accident .",wind,wind,49,16,4,1,19,4,4,,
improvements,include,includes,"planned improvements to the route include track and signal upgrades , and expansion of terminals , including construction of new automotive and intermodal terminals in ayer , massachusetts and mechanicville , new york .","planned improvements to the route [MASK] track and signal upgrades , and expansion of terminals , including construction of new automotive and intermodal terminals in ayer , massachusetts and mechanicville , new york .",include,include,34,4,1,1,5,1,1,,
modifications,leave,leaves,"it is my goal to make whatever modifications to the tone of the text as possible and leave only the factual , non  biased , non  promotional based information .","it is my goal to make whatever modifications to the tone of the text as possible and [MASK] only the factual , non  biased , non  promotional based information .",leave,leave,32,10,3,1,17,3,4,,
abilities,reflect,reflects,"ironically , his own abilities and true form reflect that of a mole , able to bury his victims underground .","ironically , his own abilities and true form [MASK] that of a mole , able to bury his victims underground .",reflect,reflect,21,4,1,0,8,1,1,,
manufacturers,include,includes,"some commercial manufacturers for photopolymer include dupont cyrel , flint nyloflex , macdermid , asahi photoproducts , eastman  kodak , novacryl , elaslon , and soleflex exaprint .","some commercial manufacturers for photopolymer [MASK] dupont cyrel , flint nyloflex , macdermid , asahi photoproducts , eastman  kodak , novacryl , elaslon , and soleflex exaprint .",include,include,29,3,1,0,5,1,1,,
points,include,includes,"points of interest include the coach and horses pub , and recently developed football club flint mountain fc .","points of interest [MASK] the coach and horses pub , and recently developed football club flint mountain fc .",include,include,19,3,1,0,3,1,1,,
agencies,include,includes,"executive agencies under the jurisdiction of the cabinet secretary include transport scotland , the scottish public pensions agency , the scottish building standards agency .","executive agencies under the jurisdiction of the cabinet secretary [MASK] transport scotland , the scottish public pensions agency , the scottish building standards agency .",include,include,25,8,3,0,9,3,1,,
images,appear,appears,few other images of this physicist appear to exist ; it is needed to identify the figure for educational purposes in an encyclopedia entry .,few other images of this physicist [MASK] to exist ; it is needed to identify the figure for educational purposes in an encyclopedia entry .,appear,appear,25,4,1,0,6,1,1,,
sculptures,include,includes,"deity sculptures in the temple include ganesha ( god of wisdom ) , vamana ( avatar of vishnu ) , vishnu , narasimha , brahma , uma  maheshavara ( shiva with parvati ) and dhyani buddha ( a buddhist image ) .","deity sculptures in the temple [MASK] ganesha ( god of wisdom ) , vamana ( avatar of vishnu ) , vishnu , narasimha , brahma , uma  maheshavara ( shiva with parvati ) and dhyani buddha ( a buddhist image ) .",include,include,43,4,2,0,5,2,1,,
weights,seem,seems,certainly the weights of both the low  speed engine and the michel engine seem excessive .,certainly the weights of both the low  speed engine and the michel engine [MASK] excessive .,seem,seem,17,12,3,0,14,3,5,,
agents,include,includes,natural anticaking agents used in more expensive table salt include calcium carbonate and magnesium carbonate .,natural anticaking agents used in more expensive table salt [MASK] calcium carbonate and magnesium carbonate .,include,include,16,7,2,2,9,2,1,,
elements,occur,occurs,if the process is repeated then it is in general observed that some elements of the range of variability occur more frequently and other less frequently .,if the process is repeated then it is in general observed that some elements of the range of variability [MASK] more frequently and other less frequently .,occur,occur,27,6,3,2,19,3,1,,
members,suggest,suggests,some members of the sakya tribe suggest the child should be taken to the temple .,some members of the sakya tribe [MASK] the child should be taken to the temple .,suggests,suggests,16,5,2,0,6,2,1,,
