nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,number
members,include,includes,"members of this family include cretoxyrhina , a genus from the cretaceous , and palaeocarcharodon , a possible ancestor of the great white shark and carcharodon megalodon , possibly the largest shark to have lived .","members of this family [MASK] cretoxyrhina , a genus from the cretaceous , and palaeocarcharodon , a possible ancestor of the great white shark and carcharodon megalodon , possibly the largest shark to have lived .",include,include,36,4,1,0,4,1,1,,pl
organizations,include,includes,"large organizations that make use of python include google , yahoo !","large organizations that make use of python [MASK] google , yahoo !",include,include,12,6,1,1,7,1,3,,pl
peaks,reach,reaches,"mountain peaks in the park reach an elevation of 2 , 600 meters above sea level .","mountain peaks in the park [MASK] an elevation of 2 , 600 meters above sea level .",reach,reach,17,4,2,0,5,2,1,,pl
communities,include,includes,"such upscale master  planned communities in this area include scenic oaks , sonterra , canyon springs , encino park , and stone oak .","such upscale master  planned communities in this area [MASK] scenic oaks , sonterra , canyon springs , encino park , and stone oak .",include,includes,25,4,2,1,9,2,1,,pl
outputs,have,has,the outputs that go back into the sequencer to determine the next address have to go through some sort of register to prevent the creation of a race condition .,the outputs that go back into the sequencer to determine the next address [MASK] to go through some sort of register to prevent the creation of a race condition .,have,have,30,12,2,2,13,2,1,,pl
references,lead,leads,almost all references listed for this article right now lead to their website with four of them repeating the same link .,almost all references listed for this article right now [MASK] to their website with four of them repeating the same link .,lead,lead,22,7,1,1,9,1,3,,pl
shorts,continue,continues,"shorts seaplane business closed after the second world war with the demise the flying boat business , while the works at rochester airport continue to make military aviation equipment , currently owned by bae .","shorts seaplane business closed after the second world war with the demise the flying boat business , while the works at rochester airport [MASK] to make military aviation equipment , currently owned by bae .",continues,continue,35,23,8,2,23,7,21,,pl
claims,include,includes,mindell 's claims regarding goji juice include supposed benefits for cancer patients based on evidence of cancer cell inhibition in vitro ( i .,mindell 's claims regarding goji juice [MASK] supposed benefits for cancer patients based on evidence of cancer cell inhibition in vitro ( i .,include,include,24,4,2,1,6,2,1,,pl
stores,include,includes,"notable grocery stores , which often focus on locally  grown organic produce , include the rainbow grocery cooperative and bi  rite market .","notable grocery stores , which often focus on locally  grown organic produce , [MASK] the rainbow grocery cooperative and bi  rite market .",include,include,25,12,2,2,14,2,2,,pl
interests,continue,continues,"instead there was a toxic and destructive environment in which the interests of the client continue to be sidelined , senior management described clients as muppets and colleagues callously talked about ripping their clients off .","instead there was a toxic and destructive environment in which the interests of the client [MASK] to be sidelined , senior management described clients as muppets and colleagues callously talked about ripping their clients off .",continue,continue,36,4,2,1,15,2,1,,pl
members,have,has,"members of the public with an interest in the royal navy , royal marines and the fleet air arm also have access to the newspaper .","members of the public with an interest in the royal navy , royal marines and the fleet air arm also [MASK] access to the newspaper .",have,have,26,20,7,0,20,6,2,,pl
properties,argue,argues,"of these three properties , proponents of zooko 's triangle argue that no single kind of name can achieve more than two .","of these three properties , proponents of zooko 's triangle [MASK] that no single kind of name can achieve more than two .",argue,argue,23,7,2,0,10,1,1,,pl
members,think,thinks,footy members and an admin think it was ugly .,footy members and an admin [MASK] it was ugly .,think,think,10,4,2,0,5,2,1,,pl
approaches,include,includes,the two main approaches that have been developed to address this problem include a command  and  control regulatory system and emissions credit trading .,the two main approaches that have been developed to address this problem [MASK] a command  and  control regulatory system and emissions credit trading .,include,include,26,9,1,2,12,1,1,,pl
troopers,wear,wears,"in this series , he rules the planet of etheria with an army of horde troopers , most of whom wear a red bat symbol on their chests to convey their allegiance .","in this series , he rules the planet of etheria with an army of horde troopers , most of whom [MASK] a red bat symbol on their chests to convey their allegiance .",wear,wear,33,5,5,1,20,5,6,,pl
people,think,thinks,"however , as steve says , most people in fact think in a combination of different forms , and just have a preference for some over others .","however , as steve says , most people in fact [MASK] in a combination of different forms , and just have a preference for some over others .",think,think,28,3,1,1,10,1,1,,pl
articles,seem,seems,no real in  depth articles describing this person seem to exist .,no real in  depth articles describing this person [MASK] to exist .,seems,seem,13,4,3,1,9,3,1,,pl
names,include,includes,"classical names used in the book include polyhymnia and the fictional portuguese island of gaea , named for a greek goddess associated with the earth .","classical names used in the book [MASK] polyhymnia and the fictional portuguese island of gaea , named for a greek goddess associated with the earth .",include,include,26,5,1,1,6,1,1,,pl
buildings,include,includes,buildings named in his honor include a residence hall in the east halls area of the university park campus of the pennsylvania state university and the charleroi public library .,buildings named in his honor [MASK] a residence hall in the east halls area of the university park campus of the pennsylvania state university and the charleroi public library .,include,include,30,5,1,1,5,1,1,,pl
activities,include,includes,general aviation activities at the airport include a base and pilot school operated by pegasus helicopter .,general aviation activities at the airport [MASK] a base and pilot school operated by pegasus helicopter .,include,include,17,4,2,0,6,2,1,,pl
towns,include,includes,"apart from sungai petani , other major towns in the district include tikam batu , padang tembusu , sungai lalang , bedong , bukit selambau , sidam , gurun , semeling , merbok , kota kuala muda and tanjung dawai .","apart from sungai petani , other major towns in the district [MASK] tikam batu , padang tembusu , sungai lalang , bedong , bukit selambau , sidam , gurun , semeling , merbok , kota kuala muda and tanjung dawai .",include,include,41,4,1,0,11,1,1,,pl
parts,have,has,the northern parts of the island have oil deposits ; cerro sombrero in chile is the main extraction centre in the island .,the northern parts of the island [MASK] oil deposits ; cerro sombrero in chile is the main extraction centre in the island .,have,have,23,4,1,0,6,1,1,,pl
buildings,include,includes,other significant buildings lost to development include the champions hotel on the corner of swanston street .,other significant buildings lost to development [MASK] the champions hotel on the corner of swanston street .,include,include,17,4,1,1,6,1,1,,pl
monocotyledons,have,has,"the name monocotyledons is derived from the traditional botanical name monocotyledones , which derives from the fact that most members of this group have one cotyledon , or embryonic leaf , in their seeds .","the name monocotyledons is derived from the traditional botanical name monocotyledones , which derives from the fact that most members of this group [MASK] one cotyledon , or embryonic leaf , in their seeds .",has,have,35,21,6,2,23,4,1,,pl
recordings,require,requires,"analog recordings by comparison require comparatively bulky , high  quality playback equipment to capture the signal from the media as accurately as digital .","analog recordings by comparison [MASK] comparatively bulky , high  quality playback equipment to capture the signal from the media as accurately as digital .",require,require,25,3,1,0,4,1,1,,pl
businesses,try,tries,"if businesses in a country collectively try to grow at too fast a rate , then their demand for loans to finance that growth will exceed the supply of savings , forcing up interest rates .","if businesses in a country collectively [MASK] to grow at too fast a rate , then their demand for loans to finance that growth will exceed the supply of savings , forcing up interest rates .",try,try,36,5,1,0,6,1,2,,pl
workers,work,works,"now however , workers who come to work on monday morning almost always work 40 hours or more ; their cost is fixed rather than variable .","now however , workers who come to work on monday morning almost always [MASK] 40 hours or more ; their cost is fixed rather than variable .",work,work,27,10,1,2,13,1,3,,pl
decisions,make,makes,"decisions about policy sometimes , in effect , make policy .","decisions about policy sometimes , in effect , [MASK] policy .",make,make,11,8,2,0,8,2,2,,pl
cows,go,goes,"if you convert that grassland into a farm to grow corn ( which will be fed to cows ) , levels of carbon go down .","if you convert that grassland into a farm to grow corn ( which will be fed to cows ) , levels of carbon [MASK] down .",go,go,26,6,5,3,23,4,1,,pl
copies,include,includes,all european copies and the us vinyl version include the controversial artwork as vinyl manufacturers do n't have a problem with the artwork .,all european copies and the us vinyl version [MASK] the controversial artwork as vinyl manufacturers do n't have a problem with the artwork .,include,include,24,6,2,0,8,2,1,,pl
areas,include,includes,"major urban areas in the region include the cities of norwich , cambridge and peterborough .","major urban areas in the region [MASK] the cities of norwich , cambridge and peterborough .",include,include,16,4,1,0,6,1,1,,pl
buildings,remain,remains,the main buildings in the middle of the workshop area remain .,the main buildings in the middle of the workshop area [MASK] .,remain,remain,12,8,3,0,10,3,1,,pl
specimens,have,has,young specimens of volvopluteus gloiocephalus have white gills so it is possible to mistake them for an amanita and vice versa .,young specimens of volvopluteus gloiocephalus [MASK] white gills so it is possible to mistake them for an amanita and vice versa .,have,have,22,4,0,0,5,0,none,,pl
accounts,create,creates,"the new accounts created in the past week ( qarub , prakashbabu77 and o0i1e3s5 ) create their userpages and talkpages as their first edits to make them blue links .","the new accounts created in the past week ( qarub , prakashbabu77 and o0i1e3s5 ) [MASK] their userpages and talkpages as their first edits to make them blue links .",create,create,30,13,4,1,15,4,2,,pl
observations,appear,appears,"such observations on the african environment appear in several standard histories on african cultures and economies , including the development of states and their militaries .","such observations on the african environment [MASK] in several standard histories on african cultures and economies , including the development of states and their militaries .",appear,appear,26,5,0,0,6,0,none,,pl
musicians,include,includes,"guest musicians on the album include van dyke parks , mocean worker , mitchell froom and lou reed .","guest musicians on the album [MASK] van dyke parks , mocean worker , mitchell froom and lou reed .",include,include,19,4,2,0,5,2,1,,pl
numbers,live,lives,"large numbers of han chinese , the largest ethnic group in the world , live in southeast asia .","large numbers of han chinese , the largest ethnic group in the world , [MASK] in southeast asia .",live,live,19,13,2,0,14,2,2,,pl
controllers,require,requires,"o controllers on the system bus require that accesses follow a particular order , while the cpu reorders accesses to optimize memory bandwidth usage .","o controllers on the system bus [MASK] that accesses follow a particular order , while the cpu reorders accesses to optimize memory bandwidth usage .",require,require,25,5,2,0,6,2,1,,pl
types,include,includes,"other types of exercise include the tewt ( tactical exercise without troops ) , also known as a sand table , map or cloth model exercise .","other types of exercise [MASK] the tewt ( tactical exercise without troops ) , also known as a sand table , map or cloth model exercise .",include,include,27,3,1,0,4,1,1,,pl
characteristics,allow,allows,this and other characteristics of imap operation allow multiple clients to manage the same mailbox .,this and other characteristics of imap operation [MASK] multiple clients to manage the same mailbox .,allow,allows,16,4,1,0,7,1,1,,pl
societies,have,has,"that is why muslim societies , contrary to propaganda , have some of the most socially caring networks .","that is why muslim societies , contrary to propaganda , [MASK] some of the most socially caring networks .",have,have,19,6,1,0,10,1,2,,pl
rules,contain,contains,new game rules in the book contain additional information and clarify existing game mechanics .,new game rules in the book [MASK] additional information and clarify existing game mechanics .,contain,contain,15,4,2,0,6,2,1,,pl
visitors,prefer,prefers,i would expect that most visitors to the article prefer the article with the picture than without it .,i would expect that most visitors to the article [MASK] the article with the picture than without it .,prefer,prefer,19,4,1,1,9,1,1,,pl
activities,include,includes,"transferred from the connecticut department of environmental protection ( dep ) in 2008 , current activities on the property include studies of cold  hardy grape vine varieties , the cultivation of rapeseed for biofuel production and the biocontrol of soil nematodes .","transferred from the connecticut department of environmental protection ( dep ) in 2008 , current activities on the property [MASK] studies of cold  hardy grape vine varieties , the cultivation of rapeseed for biofuel production and the biocontrol of soil nematodes .",include,include,43,4,3,1,19,3,1,,pl
words,appear,appears,"in the family tree , the words written near his name appear to be christinus scholarius ( christian scholar ) .","in the family tree , the words written near his name [MASK] to be christinus scholarius ( christian scholar ) .",appear,appear,21,5,3,1,11,3,1,,pl
others,know,knows,"i chose william tell overture to analyze because it 's not as specialized a topic as some of the others in the area , and many people who do n't know about opera know about this piece via commercials and the lone ranger .","i chose william tell overture to analyze because it 's not as specialized a topic as some of the others in the area , and many people who do n't know about opera [MASK] about this piece via commercials and the lone ranger .",know,know,44,14,5,5,33,5,1,,pl
buildings,provide,provides,mill buildings throughout the southeast also provide an abundant source of reclaimed wood .,mill buildings throughout the southeast also [MASK] an abundant source of reclaimed wood .,provide,provide,14,5,2,0,6,2,2,,pl
fugitives,include,includes,"current and past fugitives in this program include murderers , sex offenders , major drug lords , organized crime figures , and individuals wanted for high  profile financial crimes .","current and past fugitives in this program [MASK] murderers , sex offenders , major drug lords , organized crime figures , and individuals wanted for high  profile financial crimes .",includes,include,31,4,1,0,7,1,1,,pl
merchants,have,has,the merchants along the main street of preston have their store fronts decorated with christmas lights during the festival .,the merchants along the main street of preston [MASK] their store fronts decorated with christmas lights during the festival .,have,have,20,7,1,0,8,1,3,,pl
studies,show,shows,"these studies , which vary widely in cla dose and duration , show the most significant effect of cla on weight management is on body composition , a reduction in total body fat and an increase in lean body mass .","these studies , which vary widely in cla dose and duration , [MASK] the most significant effect of cla on weight management is on body composition , a reduction in total body fat and an increase in lean body mass .",show,show,41,11,2,1,12,2,2,,pl
claims,have,has,"yes , claims of anonymous work have to be investigated .","yes , claims of anonymous work [MASK] to be investigated .",have,have,11,4,1,0,6,1,1,,pl
snails,live,lives,the name talus snail refers to the fact that snails in this genus live on and in talus .,the name talus snail refers to the fact that snails in this genus [MASK] on and in talus .,live,lives,19,4,4,2,13,4,1,,pl
towns,include,includes,"towns near this city include ocuila , pasaje , cerro gordo , pedriceña and velardeña .","towns near this city [MASK] ocuila , pasaje , cerro gordo , pedriceña and velardeña .",include,include,16,4,1,0,4,1,1,,pl
species,include,includes,"similar species in the lyside sulphur 's range include queen alexandra 's sulphur ( colias alexandra ) , the cloudless sulphur ( phoebis sennae ) , and the statira sulphur ( aphrissa statira ) .","similar species in the lyside sulphur 's range [MASK] queen alexandra 's sulphur ( colias alexandra ) , the cloudless sulphur ( phoebis sennae ) , and the statira sulphur ( aphrissa statira ) .",include,includes,35,7,2,0,8,2,1,,pl
nominees,receive,receives,i think if more rfa nominees near the low end numerically receive such published consideration    irrespective of the outcome    we might be able to move past the idea that danny received special treatment .,i think if more rfa nominees near the low end numerically [MASK] such published consideration    irrespective of the outcome    we might be able to move past the idea that danny received special treatment .,receives,receive,40,6,2,1,11,2,2,,pl
proponents,argue,argues,proponents of this idea argue that it combines the advantages of a market economy with those of socialist economics .,proponents of this idea [MASK] that it combines the advantages of a market economy with those of socialist economics .,argue,argue,20,4,1,0,4,1,1,,pl
species,include,includes,"introduced fish species in the area include brown bullhead , fathead minnow , yellow perch , sacramento perch , pumpkinseed , bluegill , green sunfish , largemouth bass , and brown trout .","introduced fish species in the area [MASK] brown bullhead , fathead minnow , yellow perch , sacramento perch , pumpkinseed , bluegill , green sunfish , largemouth bass , and brown trout .",include,include,33,4,2,1,6,2,1,,pl
origins,contain,contains,"origins in fission yeast contain long stretches of dna rich in thymines and adenines that are important for origin function , but do not exhibit strong sequence similarity .","origins in fission yeast [MASK] long stretches of dna rich in thymines and adenines that are important for origin function , but do not exhibit strong sequence similarity .",contain,contain,29,4,2,0,4,2,1,,pl
acids,indicate,indicates,"when consecutively measuring amino acids of a protein , changes in value indicate attraction of specific protein regions towards the hydrophobic region inside lipid bilayer .","when consecutively measuring amino acids of a protein , changes in value [MASK] attraction of specific protein regions towards the hydrophobic region inside lipid bilayer .",indicate,indicates,26,8,3,1,12,2,1,,pl
details,suggest,suggests,"details from his later life suggest that he was ordained as a priest at some point , but the date is unknown .","details from his later life [MASK] that he was ordained as a priest at some point , but the date is unknown .",suggest,suggest,23,5,1,0,5,1,1,,pl
graves,face,faces,newer graves on the western side of the path generally face east .,newer graves on the western side of the path generally [MASK] east .,face,face,13,9,2,0,10,2,2,,pl
chapters,make,makes,"the first 16 chapters and the last chapter make up the priestly code , with rules for ritual cleanliness , sin  offerings , and the day of atonement , including chapter 12 which mandates male circumcision .","the first 16 chapters and the last chapter [MASK] up the priestly code , with rules for ritual cleanliness , sin  offerings , and the day of atonement , including chapter 12 which mandates male circumcision .",make,make,38,5,1,0,8,1,1,,pl
opponents,argue,argues,opponents of this practice argue that it forces teachers to limit curriculum to a set range of knowledge or skills in order to increase student performance on the mandated test .,opponents of this practice [MASK] that it forces teachers to limit curriculum to a set range of knowledge or skills in order to increase student performance on the mandated test .,argue,argue,31,4,1,0,4,1,1,,pl
studies,suggest,suggests,recent studies of nitric oxide ( no ) mechanisms suggest that no may play a key role in the pathophysiology of ctth .,recent studies of nitric oxide ( no ) mechanisms [MASK] that no may play a key role in the pathophysiology of ctth .,suggests,suggests,23,8,2,0,9,1,5,,pl
advantages,include,includes,"according to zatorre ( 1989 ) , some major advantages of this method include minimizing attentional factors , since the percept is unitary and localized to the midline and stimulus dominance effects may be explicitly calculated , and their influence on ear asymmetries assessed and eliminated .","according to zatorre ( 1989 ) , some major advantages of this method [MASK] minimizing attentional factors , since the percept is unitary and localized to the midline and stimulus dominance effects may be explicitly calculated , and their influence on ear asymmetries assessed and eliminated .",include,include,47,4,1,1,13,1,1,,pl
participants,include,includes,"notable participants in the mexican revolution from the area include leónides guerrero , miguel and arturo canales , marcelino rueda , florencio salas , and j .","notable participants in the mexican revolution from the area [MASK] leónides guerrero , miguel and arturo canales , marcelino rueda , florencio salas , and j .",include,include,27,8,2,0,9,2,1,,pl
supporters,note,notes,some supporters of the domino theory note the history of communist governments supplying aid to communist revolutionaries in neighboring countries .,some supporters of the domino theory [MASK] the history of communist governments supplying aid to communist revolutionaries in neighboring countries .,note,note,21,5,2,0,6,2,1,,pl
models,remain,remains,"however , approximate models of the qcd vacuum remain useful in more restricted domains .","however , approximate models of the qcd vacuum [MASK] useful in more restricted domains .",remain,remains,15,5,1,0,8,1,1,,pl
performers,include,includes,"performers on the album include fellow do make say think members justin small , and dave mitchell , as well as frequent broken social scene contributors evan cranley and julie penner .","performers on the album [MASK] fellow do make say think members justin small , and dave mitchell , as well as frequent broken social scene contributors evan cranley and julie penner .",include,include,32,4,1,0,4,1,1,,pl
buildings,include,includes,"other buildings in camp include a mess hall , recreational hall , library , laundry shack , staff hut , and the director 's hut .","other buildings in camp [MASK] a mess hall , recreational hall , library , laundry shack , staff hut , and the director 's hut .",include,include,26,3,1,0,4,1,1,,pl
statistics,show,shows,"royal canadian mounted police missing child statistics for a ten  year period show a total of 60 , 582 missing children in 2007 .","royal canadian mounted police missing child statistics for a ten  year period [MASK] a total of 60 , 582 missing children in 2007 .",show,show,25,7,4,2,13,4,1,,pl
edits,stand,stands,and the few edits in the past month still stand and have not been rolled back .,and the few edits in the past month still [MASK] and have not been rolled back .,stand,stand,17,6,1,0,9,1,2,,pl
works,include,includes,his works of fiction include a kind of fighting .,his works of fiction [MASK] a kind of fighting .,include,include,10,3,1,0,4,1,1,,pl
musicians,include,includes,"other musicians who rose during this time include jimmy dorsey , his brother tommy dorsey , glenn miller , count basie , goodman 's future rival artie shaw , and woody herman who departed the isham jones band in 1936 to start his own band .","other musicians who rose during this time [MASK] jimmy dorsey , his brother tommy dorsey , glenn miller , count basie , goodman 's future rival artie shaw , and woody herman who departed the isham jones band in 1936 to start his own band .",include,include,46,6,1,1,7,1,1,,pl
suggestions,prevent,prevents,"there were suggestions of an increased risk of glioma at the highest exposure levels , but biases and error prevent a causal interpretation .","there were suggestions of an increased risk of glioma at the highest exposure levels , but biases and error [MASK] a causal interpretation .",prevent,prevent,24,17,6,2,19,4,1,,pl
warnings,suggest,suggests,the numerous warnings on the creator 's talk page strongly suggest an attempt by the user to promote their own work both here and elsewhere .,the numerous warnings on the creator 's talk page strongly [MASK] an attempt by the user to promote their own work both here and elsewhere .,suggest,suggest,26,8,3,0,10,3,2,,pl
leaves,contain,contains,the leaves of common sainfoin contain high levels of condensed tannins .,the leaves of common sainfoin [MASK] high levels of condensed tannins .,contains,contain,12,4,1,0,5,1,1,,pl
wires,have,has,"the vertical wires of the aperture grille have a resonant frequency and will vibrate in sympathetic resonance with loud sounds near the display , resulting in fluttering and shimmering of colors on the display .","the vertical wires of the aperture grille [MASK] a resonant frequency and will vibrate in sympathetic resonance with loud sounds near the display , resulting in fluttering and shimmering of colors on the display .",have,have,35,5,2,0,7,2,1,,pl
developments,make,makes,"some recent developments in the law make it easier for local planning authorities to enforce against alterations to listed buildings almost indefinitely , although of course on the criminal front the longer ago things happened , the harder it is to get the evidence needed for a successful prosecution .","some recent developments in the law [MASK] it easier for local planning authorities to enforce against alterations to listed buildings almost indefinitely , although of course on the criminal front the longer ago things happened , the harder it is to get the evidence needed for a successful prosecution .",make,make,50,4,1,0,6,1,1,,pl
hamlets,include,includes,"hamlets in the parish of little marlow include coldmoorholme , fern , handy cross , sheepridge , and winchbottom .","hamlets in the parish of little marlow [MASK] coldmoorholme , fern , handy cross , sheepridge , and winchbottom .",include,includes,20,7,1,0,7,1,4,,pl
barriers,exist,exists,"however , traditional barriers to information access still exist .","however , traditional barriers to information access still [MASK] .",exist,exist,10,5,2,0,8,2,2,,pl
claims,need,needs,"no , all claims in this article need to be sourced in this article .","no , all claims in this article [MASK] to be sourced in this article .",need,need,15,4,1,0,7,1,1,,pl
names,include,includes,"other names in common use include periplasmic phosphoglycerotransferase , and phosphoglycerol cyclase .","other names in common use [MASK] periplasmic phosphoglycerotransferase , and phosphoglycerol cyclase .",include,include,13,4,1,0,5,1,1,,pl
leaders,urge,urges,"leaders of the european union parliament urge the eu to take action over 26 europeans being held indefinitely by the us without charges , without trial , without legal representation at guantanamo bay .","leaders of the european union parliament [MASK] the eu to take action over 26 europeans being held indefinitely by the us without charges , without trial , without legal representation at guantanamo bay .",urge,urge,34,6,0,0,6,0,none,,pl
groups,include,includes,other groups in the building include the missouri department of conservation and older adults services and information systems ( oasis ) .,other groups in the building [MASK] the missouri department of conservation and older adults services and information systems ( oasis ) .,include,include,22,4,1,0,5,1,1,,pl
accounts,include,includes,published accounts of genera within the conidae that include the genus lithoconus include j .,published accounts of genera within the conidae that include the genus lithoconus [MASK] j .,includes,include,15,11,4,2,12,4,1,,pl
names,include,includes,"other names in common use include 4  nitrophenol hydroxylase , and 4  nitrophenol  2  hydroxylase .","other names in common use [MASK] 4  nitrophenol hydroxylase , and 4  nitrophenol  2  hydroxylase .",include,include,20,4,1,0,5,1,1,,pl
episodes,include,includes,"at least half the surviving episodes of the show 's final season include harris 's audience warmup routine , performed for ten minutes before the show was to begin recording .","at least half the surviving episodes of the show 's final season [MASK] harris 's audience warmup routine , performed for ten minutes before the show was to begin recording .",include,include,31,7,2,1,12,2,1,,pl
children,test,tests,children conceived through this process occasionally test positive for genetic material from three parents .,children conceived through this process occasionally [MASK] positive for genetic material from three parents .,test,test,15,6,1,1,6,1,2,,pl
schools,include,includes,schools in the area include dunluce school and bushmills primary school .,schools in the area [MASK] dunluce school and bushmills primary school .,include,include,12,4,1,0,4,1,1,,pl
rivals,include,includes,"rivals around this time include aleksey yemelin , grigoriy fedorkov and aleksey denisov .","rivals around this time [MASK] aleksey yemelin , grigoriy fedorkov and aleksey denisov .",include,include,14,4,1,1,4,1,1,,pl
criteria,include,includes,"featured article criteria mentioned in the review section include referencing , images , and length .","featured article criteria mentioned in the review section [MASK] referencing , images , and length .",include,include,16,6,3,2,8,3,1,,pl
services,know,knows,the two services combined in 1986 under the direction of the cabell county commission creating cabell county ems as we know it today .,the two services combined in 1986 under the direction of the cabell county commission creating cabell county ems as we [MASK] it today .,know,know,24,18,2,2,20,1,12,,pl
schools,remain,remains,several schools in the area from this period and architectural style remain .,several schools in the area from this period and architectural style [MASK] .,remain,remain,13,10,3,0,11,3,1,,pl
owners,include,includes,"other owners of note include john delafield , a livingston family descendant and resident of montgomery place , who considered preserving the house during the 1970s .","other owners of note [MASK] john delafield , a livingston family descendant and resident of montgomery place , who considered preserving the house during the 1970s .",include,include,27,3,1,0,4,1,1,,pl
names,find,finds,"the family names among today 's population , however , find little nervous , because the majority of families over time magyarized name .","the family names among today 's population , however , [MASK] little nervous , because the majority of families over time magyarized name .",find,find,24,8,3,0,10,3,4,,pl
birds,include,includes,"other rare and uncommon birds found in the andros environ include the bahama yellowthroat , bahama woodstar , bahama swallow , west indian whistling duck and key west quail dove .","other rare and uncommon birds found in the andros environ [MASK] the bahama yellowthroat , bahama woodstar , bahama swallow , west indian whistling duck and key west quail dove .",include,includes,31,6,0,1,10,0,none,,pl
members,have,has,"members of the family clastopteridae have their wings modified to form false heads at the tail end , an anti  predator adaptation .","members of the family clastopteridae [MASK] their wings modified to form false heads at the tail end , an anti  predator adaptation .",has,have,24,5,2,0,5,2,1,,pl
schools,include,includes,"the three schools of the college include the college of arts and sciences ( cas ) , the law school , and the graduate school of education and counseling .","the three schools of the college [MASK] the college of arts and sciences ( cas ) , the law school , and the graduate school of education and counseling .",include,include,30,4,1,0,6,1,1,,pl
names,include,includes,"other names in common use include cysteinyl  trna synthetase , cysteinyl  transferrna synthetase , cysteinyl  transfer ribonucleate synthetase , and cysteine translase .","other names in common use [MASK] cysteinyl  trna synthetase , cysteinyl  transferrna synthetase , cysteinyl  transfer ribonucleate synthetase , and cysteine translase .",include,include,26,4,1,0,5,1,1,,pl
websites,include,includes,"other websites mentioned on the page include the bbc , cnn , and the un .","other websites mentioned on the page [MASK] the bbc , cnn , and the un .",include,include,16,5,1,1,6,1,1,,pl
examples,include,includes,"examples of this construct include meyer 's and hermann 's bridges , found in greek dactylic hexameter in the second and fourth feet , respectively .","examples of this construct [MASK] meyer 's and hermann 's bridges , found in greek dactylic hexameter in the second and fourth feet , respectively .",include,include,26,4,1,0,4,1,1,,pl
schools,have,has,"however , marxism and leninism , schools of communism associated with karl marx and of vladimir lenin respectively , have the distinction of having been a major force in world politics since the early 20th century .","however , marxism and leninism , schools of communism associated with karl marx and of vladimir lenin respectively , [MASK] the distinction of having been a major force in world politics since the early 20th century .",has,have,37,13,3,1,19,3,11,,pl
fights,say,says,"when challenged to fights , he often won them decisively , though friends and family say he did not seek them out .","when challenged to fights , he often won them decisively , though friends and family [MASK] he did not seek them out .",says,says,23,12,2,2,15,1,1,,pl
functions,appear,appears,"furthermore , at every level of the hierarchy , new functions necessary for the control of life appear .","furthermore , at every level of the hierarchy , new functions necessary for the control of life [MASK] .",appear,appear,19,7,4,0,17,4,1,,pl
tensions,continue,continues,"nonetheless , tensions between peripheral nationalism and centralism continue , with some nationalist parties still advocating for a recognition of the other nations of the spanish kingdom or for a peaceful process towards self  determination .","nonetheless , tensions between peripheral nationalism and centralism [MASK] , with some nationalist parties still advocating for a recognition of the other nations of the spanish kingdom or for a peaceful process towards self  determination .",continue,continue,37,6,1,0,8,1,3,,pl
components,include,includes,the main components of the hemostatic system include platelets and the coagulation system .,the main components of the hemostatic system [MASK] platelets and the coagulation system .,include,include,14,5,1,0,7,1,1,,pl
subunits,create,creates,subunits within tfiih that have atpase and helicase activity create negative superhelical tension in the dna .,subunits within tfiih that have atpase and helicase activity [MASK] negative superhelical tension in the dna .,create,create,17,9,4,0,9,4,1,,pl
cuts,have,has,"at a time when texas is facing tremendous cuts in their higher education formula funding , it is imperative that students , and citizens of the state of texas have a more clear and present picture of the members appointed to serve their interests on respective university system boards .","at a time when texas is facing tremendous cuts in their higher education formula funding , it is imperative that students , and citizens of the state of texas [MASK] a more clear and present picture of the members appointed to serve their interests on respective university system boards .",have,have,50,21,7,1,29,5,3,,pl
people,speak,speaks,"the people residing in the shughnan district , both the tajik side and afghan side of the border , speak their own language called shughni ( khughnani ) .","the people residing in the shughnan district , both the tajik side and afghan side of the border , [MASK] their own language called shughni ( khughnani ) .",speaks,speak,29,18,4,1,19,4,2,,pl
administrators,have,has,"all current and former english wikipedia administrators in good standing have a presumption of entry to this channel , subject to appropriate conduct .","all current and former english wikipedia administrators in good standing [MASK] a presumption of entry to this channel , subject to appropriate conduct .",have,have,24,4,1,0,10,1,1,,pl
figures,include,includes,public figures who 've visited in the auditorium include richard nixon and johnny cash .,public figures who 've visited in the auditorium [MASK] richard nixon and johnny cash .,include,include,15,7,0,1,8,0,none,,pl
descendants,include,includes,"male  line descendants of fyodor 's marriage to the tatar princess include all the later rulers of yaroslavl and two dozens princely families ( such as the shakhovskoy , lvov , or prozorovsky , among others ) , which passed genghis genes to other aristocratic families of russia .","male  line descendants of fyodor 's marriage to the tatar princess [MASK] all the later rulers of yaroslavl and two dozens princely families ( such as the shakhovskoy , lvov , or prozorovsky , among others ) , which passed genghis genes to other aristocratic families of russia .",include,include,50,9,3,0,12,3,5,,pl
chemicals,include,includes,"the alkaloid chemicals contained in the root include atropine , scopolamine , and hyoscyamine .","the alkaloid chemicals contained in the root [MASK] atropine , scopolamine , and hyoscyamine .",include,include,15,5,1,1,7,1,1,,pl
histories,remain,remains,the soviet uyghur histories produced during its support of the etr remain the basis of uyghur nationalist publications today .,the soviet uyghur histories produced during its support of the etr [MASK] the basis of uyghur nationalist publications today .,remains,remains,20,8,2,1,11,2,1,,pl
