nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
minor,has,have,"A minor of any age who is Gillick competent in the context of particular treatment has a right to consent to that treatment which again can not be overridden by those with parental responsibility but can be overridden by the court
","A minor of any age who is Gillick competent in the context of particular treatment [MASK] a right to consent to that treatment which again can not be overridden by those with parental responsibility but can be overridden by the court
",has,has,41,14,3,0,15,0,none,,sg
document,is,are,"The document which must be served upon the contemnor pursuant to the rule is Form N79
","The document which must be served upon the contemnor pursuant to the rule [MASK] Form N79
",is,is,16,12,2,1,13,0,none,,sg
rule,authorises,authorise,"That rule which is the first of the rules dealing with Lautro 's intervention powers authorises the board In any case where it appears to them that it is desirable in the interests of investors to exercise their powers of intervention
","That rule which is the first of the rules dealing with Lautro 's intervention powers [MASK] the board In any case where it appears to them that it is desirable in the interests of investors to exercise their powers of intervention
",authorises / authorise,authorises / authorise,41,14,3,1,15,2,1,,sg
question,is,are,"The question whether the involvement of the solicitors in the manner pleaded in the four sub paragraphs is sufficient to make them knowingly concerned for the purposes of section 6(2) or section 61(1) of the Act has not been addressed
","The question whether the involvement of the solicitors in the manner pleaded in the four sub paragraphs [MASK] sufficient to make them knowingly concerned for the purposes of section 6(2) or section 61(1) of the Act has not been addressed
",is,are,40,16,5,1,17,2,1,,sg
recovery,is,are,"A class recovery such as that possible under subsections 3 to 7 is not available under sub section 2
","A class recovery such as that possible under subsections 3 to 7 [MASK] not available under sub section 2
",is,is,19,10,2,0,12,1,4,,sg
fact,creates,create,"The fact that emergency cases apart no medical treatment of an adult patient of full capacity can be undertaken without his consent creates a situation in which the absence of consent has much the same effect as a refusal
","The fact that emergency cases apart no medical treatment of an adult patient of full capacity can be undertaken without his consent [MASK] a situation in which the absence of consent has much the same effect as a refusal
",creates,creates,39,21,7,1,22,1,18,,sg
provision,supports,support,"a The provision of article 10(1) e in the Convention on the Law applicable to Contractual Obligations 1980 the Rome Convention enacted into English law by the Contracts Applicable Law Act 1990 that the law applicable to a contract shall govern inter alia the consequences of nullity of the contract supports the view that on the proper independent interpretation of article 5(1) the consequences of nullity must be treated as within the scope of the phrase matters relating to a contract
","a The provision of article 10(1) e in the Convention on the Law applicable to Contractual Obligations 1980 the Rome Convention enacted into English law by the Contracts Applicable Law Act 1990 that the law applicable to a contract shall govern inter alia the consequences of nullity of the contract [MASK] the view that on the proper independent interpretation of article 5(1) the consequences of nullity must be treated as within the scope of the phrase matters relating to a contract
",support,support,81,48,9,2,50,1,6,,sg
case,is,are,"The second case in which requirements may be made to provide a specimen in accordance with section 7(4) is where the driver having provided two specimens of breath one of which contains no more than 50 microgrammes of alcohol in 100 millilitres of breath claims the right under section 8(2) to have that specimen replaced by a specimen of blood or urine provided in accordance with section 7(4)
","The second case in which requirements may be made to provide a specimen in accordance with section 7(4) [MASK] where the driver having provided two specimens of breath one of which contains no more than 50 microgrammes of alcohol in 100 millilitres of breath claims the right under section 8(2) to have that specimen replaced by a specimen of blood or urine provided in accordance with section 7(4)
",is,is,68,16,4,2,18,2,6,,sg
way,is,are,"The way Tod feels about men about women about children there is confusion
","The way Tod feels about men about women about children there [MASK] confusion
",is,is,13,10,3,1,11,3,2,,sg
glimpse,slows,slow,"A glimpse of Rosa as she walks to the well in her pink tatters and Hamilton 's blood slows and clogs and his hair hums
","A glimpse of Rosa as she walks to the well in her pink tatters and Hamilton 's blood [MASK] and clogs and his hair hums
",slow,slow,25,17,3,1,18,1,5,,sg
structure,was,were,"This elaborate state structure providing in principle for the greatest possible degrees of local self government was none the less based upon the principle of democratic centralism which meant that in the last resort central decisions could be imposed upon levels of government below them
","This elaborate state structure providing in principle for the greatest possible degrees of local self government [MASK] none the less based upon the principle of democratic centralism which meant that in the last resort central decisions could be imposed upon levels of government below them
",was,was,45,13,5,1,16,1,5,,sg
development,was,were,"The gradual development of societies from capitalism to socialism admittedly was not an accident but a necessary law governed and irreversible process
","The gradual development of societies from capitalism to socialism admittedly [MASK] not an accident but a necessary law governed and irreversible process
",was,was,22,8,3,0,10,1,6,,sg
incentive,is,are,"The main incentive for building trade workers to go on their own and become labour only sub contractors is the opportunity to increase their earnings
","The main incentive for building trade workers to go on their own and become labour only sub contractors [MASK] the opportunity to increase their earnings
",are,is,25,16,5,3,18,2,1,,sg
CITB,has,have,"The CITB which was established under the Industrial Training Act of 1964 has a firm commitment to training in industry
","The CITB which was established under the Industrial Training Act of 1964 [MASK] a firm commitment to training in industry
",has,has,20,11,0,1,12,0,none,,sg
procedure,is,are,"The usual procedure for roads within the curtilage of the development site is that they are dedicated to the local authority and adopted
","The usual procedure for roads within the curtilage of the development site [MASK] that they are dedicated to the local authority and adopted
",is,is,23,10,4,0,12,1,8,,sg
ability,affects,affect,"A company 's ability to raise the price of its goods above the competitive level affects the demand for its products and through the effect on relative prices the pattern of demand throughout the economy
","A company 's ability to raise the price of its goods above the competitive level [MASK] the demand for its products and through the effect on relative prices the pattern of demand throughout the economy
",affect,affect,35,12,4,1,15,1,5,,sg
way,is,are,"A different way of questioning the justification of corporate power in terms of wealth maximisation is to argue that at least beyond a certain level of prosperity increases in wealth do not compensate for can not be traded off against the accumulation of power
","A different way of questioning the justification of corporate power in terms of wealth maximisation [MASK] to argue that at least beyond a certain level of prosperity increases in wealth do not compensate for can not be traded off against the accumulation of power
",is,is,44,13,5,1,15,1,4,,sg
idea,lies,lie,"The idea that compliance with profit maximisation should be enforced through shareholder supervisions and controls lies at the centre of what we will refer to as the ownership model of the company
","The idea that compliance with profit maximisation should be enforced through shareholder supervisions and controls [MASK] at the centre of what we will refer to as the ownership model of the company
",lie,lie,32,14,6,1,15,2,1,,sg
absence,is,are,"The absence of an effective internal mechanism for regulating the conduct of management means of course that the inability if such it be of the shareholders to exercise effective control is of increased significance
","The absence of an effective internal mechanism for regulating the conduct of management means of course that the inability if such it be of the shareholders to exercise effective control [MASK] of increased significance
",is,is,34,29,7,4,30,1,5,,sg
factor,is,are,"Another factor that may bring the position of managers closer to that of the shareholders is the use of performance related pay and share option schemes
","Another factor that may bring the position of managers closer to that of the shareholders [MASK] the use of performance related pay and share option schemes
",is,is,26,14,3,1,15,2,1,,sg
bearing,is,are,"A third duty bearing on the consequences of the separation of ownership and control the duty to act for a proper purpose is the subject of Chapter 5
","A third duty bearing on the consequences of the separation of ownership and control the duty to act for a proper purpose [MASK] the subject of Chapter 5
",is,is,28,19,6,2,22,1,16,,sg
study,concludes,conclude,"A recent British study summarising the evidence on the financial characteristics of acquiring acquired and non acquired companies concludes that it is difficult to distinguish between them
","A recent British study summarising the evidence on the financial characteristics of acquiring acquired and non acquired companies [MASK] that it is difficult to distinguish between them
",conclude,conclude,27,15,4,4,18,2,1,,sg
side-effect,is,are,"The side-effect that has caused greatest concern in recent years however is that of short  termism
","The side-effect that has caused greatest concern in recent years however [MASK] that of short  termism
",is,are,17,10,3,1,11,0,none,,sg
view,is,are,"No conclusive view about the contribution of the market for control to management short  termism is at least as yet possible
","No conclusive view about the contribution of the market for control to management short  termism [MASK] at least as yet possible
",is,is,22,14,5,0,16,0,none,,sg
system,prevails,prevail,"A more formal and impersonal system of management of the kind which other farmers disparagingly attribute to manufacturing industry therefore prevails
","A more formal and impersonal system of management of the kind which other farmers disparagingly attribute to manufacturing industry therefore [MASK]
",prevails / prevail,prevails / prevail,21,15,4,2,20,1,7,,sg
point,is,are,"A convenient though entirely arbitrary point to begin an account of recent changes in the English village is the middle of the nineteenth century
","A convenient though entirely arbitrary point to begin an account of recent changes in the English village [MASK] the middle of the nineteenth century
",is,is,24,12,3,1,17,1,5,,sg
comparison,shows,show,"A comparison between a commuter village and one which has suffered the ravages of rural depopulation unhindered by the arrival of newcomers soon shows this
","A comparison between a commuter village and one which has suffered the ravages of rural depopulation unhindered by the arrival of newcomers soon [MASK] this
",show,show,25,22,6,1,23,2,2,,sg
frequency,reflects,reflect,"The frequency with which references to rural housing have already been made in this chapter reflects the extent to which the housing market acts as an intermediary between the economic changes in agriculture described earlier in this book and the kind of social life which is now to be found in the English countryside
","The frequency with which references to rural housing have already been made in this chapter [MASK] the extent to which the housing market acts as an intermediary between the economic changes in agriculture described earlier in this book and the kind of social life which is now to be found in the English countryside
",reflects,reflects,54,14,3,1,15,1,11,,sg
restriction,pervades,pervade,"The general restriction of planning methods for rural housing to development control and a concern with the fabric of the built countryside pervades the whole attitude of structure planning to rural housing not just policies
","The general restriction of planning methods for rural housing to development control and a concern with the fabric of the built countryside [MASK] the whole attitude of structure planning to rural housing not just policies
",pervades / pervade,pervades / pervade,35,20,8,1,22,1,17,,sg
hostility,helps,help,"The hostility which farmers have recently provoked from many environmentalists also helps to confirm them in their characteristic persecution complex associated with being a small closely knit minority in an urban industrial society
","The hostility which farmers have recently provoked from many environmentalists also [MASK] to confirm them in their characteristic persecution complex associated with being a small closely knit minority in an urban industrial society
",help,help,33,10,2,1,11,2,2,,sg
deal,demonstrates,demonstrate,"A good deal of research carried out in Britain and elsewhere between the late 1940s and the present chiefly by industrial sociologists and psychologists demonstrates fairly conclusively that a high proportion of people in their sixties and seventies can work effectively at their accustomed or preferred occupation even when this is physically quite heavy or makes significant intellectual demands
","A good deal of research carried out in Britain and elsewhere between the late 1940s and the present chiefly by industrial sociologists and psychologists [MASK] fairly conclusively that a high proportion of people in their sixties and seventies can work effectively at their accustomed or preferred occupation even when this is physically quite heavy or makes significant intellectual demands
",demonstrates,demonstrates,59,22,4,1,24,3,1,,sg
rate,is,are,"The unemployment rate among married heads of household moving from the owner occupied to the local authority sector is about six times the rate of those moving in the opposite direction Murphy and Sullivan 1986
","The unemployment rate among married heads of household moving from the owner occupied to the local authority sector [MASK] about six times the rate of those moving in the opposite direction Murphy and Sullivan 1986
",is,is,35,16,6,2,18,1,13,,sg
surge,provides,provide,"The massive surge in house prices in London between 1984 and 1987 provides some indication of the scale of pent up demand for new housing only a relatively small fraction of which can be met within London itself
","The massive surge in house prices in London between 1984 and 1987 [MASK] some indication of the scale of pent up demand for new housing only a relatively small fraction of which can be met within London itself
",provides,provides,38,10,2,0,12,1,7,,sg
sum,ranges,range,"The average sum allocated for every child aged 5–17 by these children in single parent families ranges from a minimum of about £100 to a maximum of just over £300 a range of £200
","The average sum allocated for every child aged 5–17 by these children in single parent families [MASK] from a minimum of about £100 to a maximum of just over £300 a range of £200
",range,range,34,14,4,2,16,2,1,,sg
item,identifies,identify,"The third item which simply takes the sum of the four indicators most commonly used as measures of housing deprivation in the GRE formulae identifies Kensington and Chelsea Camden and Hammersmith and Fulham as being among the five most deprived Authorities in England while these Boroughs contain pockets of deprivation and of poverty it is clearly a nonsensical ranking
","The third item which simply takes the sum of the four indicators most commonly used as measures of housing deprivation in the GRE formulae [MASK] Kensington and Chelsea Camden and Hammersmith and Fulham as being among the five most deprived Authorities in England while these Boroughs contain pockets of deprivation and of poverty it is clearly a nonsensical ranking
",identifies,identifies,59,22,6,2,24,2,8,,sg
qualification,is,are,"Another qualification that should be made to the picture of a rising trend in women 's paid work is that as can been seen in figure 10.1 participation in full time employment has not risen
","Another qualification that should be made to the picture of a rising trend in women 's paid work [MASK] that as can been seen in figure 10.1 participation in full time employment has not risen
",are,are,35,17,4,3,18,1,4,,sg
gap,was,were,"The unexplained gap between the pay of 26 year old men and women was 51 per cent allowing only for educational background and employment experience or 38 per cent allowing also for information on job characteristics
","The unexplained gap between the pay of 26 year old men and women [MASK] 51 per cent allowing only for educational background and employment experience or 38 per cent allowing also for information on job characteristics
",was,were,36,11,4,0,13,2,1,,sg
improvement,seems,seem,"The once and for all improvement in women 's relative pay associated with the enactment of equal pay legislation seems to have affected the female labour force indirectly by encouraging the deferment of childbearing in the mid 1970s
","The once and for all improvement in women 's relative pay associated with the enactment of equal pay legislation [MASK] to have affected the female labour force indirectly by encouraging the deferment of childbearing in the mid 1970s
",seems,seems,38,14,5,1,19,1,12,,sg
evidence,is,are,"The earliest evidence we have from observations by the Romans of the Celts in Gaul is already from a considerably developed society
","The earliest evidence we have from observations by the Romans of the Celts in Gaul [MASK] already from a considerably developed society
",is,is,22,13,1,1,15,1,9,,sg
book,plays,play,"A Marxist book an anarchist 's guide attacks on the institution of the family songs celebrating illegal drugs films and television plays celebrating physical violence or showing crime as justifiable or successful can and do become whatever their varying cultural sources profitable commodities in a market within a state and culture which officially and no doubt within the terms of its insoluble contradiction really disapproves of or opposes all these things
","A Marxist book an anarchist 's guide attacks on the institution of the family songs celebrating illegal drugs films and television [MASK] celebrating physical violence or showing crime as justifiable or successful can and do become whatever their varying cultural sources profitable commodities in a market within a state and culture which officially and no doubt within the terms of its insoluble contradiction really disapproves of or opposes all these things
",play,play,71,19,9,1,21,4,3,,sg
work,has,have,"The best Corinthian work of the seventh century with its tense strength and controlled balance of decorative and representational has just the same character as the great bronze griffin heads
","The best Corinthian work of the seventh century with its tense strength and controlled balance of decorative and representational [MASK] just the same character as the great bronze griffin heads
",have,have,30,16,3,1,19,0,none,,sg
relation,is,are,"The exact relation of what we see on the vases to what was shown on the walls is something we shall have to consider but that in some way these vase pictures do reflect the revolution in wall painting can not be doubted
","The exact relation of what we see on the vases to what was shown on the walls [MASK] something we shall have to consider but that in some way these vase pictures do reflect the revolution in wall painting can not be doubted
",is,is,43,15,2,2,17,2,1,,sg
edition,contains,contain,"A new edition of The Song Book of the Salvation Army 1986 Salvationist Publishing and Supplies 1986 contains words alone but is supplemented by The Tune Book which is published both as a set of band parts and for keyboard
","A new edition of The Song Book of the Salvation Army 1986 Salvationist Publishing and Supplies 1986 [MASK] words alone but is supplemented by The Tune Book which is published both as a set of band parts and for keyboard
",contains,contains,40,15,0,0,17,0,none,,sg
total,exceeds,exceed,"The sum total of their daily offering of music in worship far exceeds that of the cathedrals
","The sum total of their daily offering of music in worship far [MASK] that of the cathedrals
",exceeds,exceeds,17,10,4,0,12,0,none,,sg
report,affirms,affirm,"The final report of the working party considering the content of music courses in the National Curriculum strongly affirms the centrality of performing composing and listening in the new syllabus
","The final report of the working party considering the content of music courses in the National Curriculum strongly [MASK] the centrality of performing composing and listening in the new syllabus
",affirms / affirm,affirms / affirm,30,16,4,2,18,1,6,,sg
strand,emphasises,emphasise,"A common strand in comments coming to the Commission from many quarters emphasises the vital role played by the clergy in the leading of worship and the need for them to receive proper training in the selection and use of music in church
","A common strand in comments coming to the Commission from many quarters [MASK] the vital role played by the clergy in the leading of worship and the need for them to receive proper training in the selection and use of music in church
",emphasises / emphasise,emphasises / emphasise,43,10,2,1,12,2,1,,sg
guitar,demands,demand,"The electric guitar demands particular sensitivity on the part of those who play it since by its very nature its sound is somewhat aggressive
","The electric guitar [MASK] particular sensitivity on the part of those who play it since by its very nature its sound is somewhat aggressive
",demands,demands,24,1,0,0,3,0,none,,sg
quality,means,mean,"The variable quality of both production and music in outside broadcasts from churches together with budgetary limitations means that they are almost wholly precluded
","The variable quality of both production and music in outside broadcasts from churches together with budgetary limitations [MASK] that they are almost wholly precluded
",means,means,24,15,5,0,17,3,1,,sg
frequency,indicates,indicate,"The frequency with which controversial legislation is amended by Parliament itself as witness the Act of 1974 which was amended in 1975 as well as in 1976 indicates that legislation after it has come into operation may fail to have the beneficial effects which Parliament expected or may produce injurious results that Parliament did not anticipate
","The frequency with which controversial legislation is amended by Parliament itself as witness the Act of 1974 which was amended in 1975 as well as in 1976 [MASK] that legislation after it has come into operation may fail to have the beneficial effects which Parliament expected or may produce injurious results that Parliament did not anticipate
",indicates,indicates,56,26,1,3,27,0,none,,sg
supplement,consists,consist,"The third supplement to the simple regime of primary rules intended to remedy the inefficiency of its diffused social pressure consists of secondary rules empowering individuals to make authoritative determinations of the question whether on a particular occasion a primary rule has been broken
","The third supplement to the simple regime of primary rules intended to remedy the inefficiency of its diffused social pressure [MASK] of secondary rules empowering individuals to make authoritative determinations of the question whether on a particular occasion a primary rule has been broken
",consist,consist,44,18,4,2,20,1,11,,sg
existence,means,mean,"The mere existence of fashion as an industry and integral part of capitalism means it is by definition undemocratic and so further underlines the impossibility and futility of the question
","The mere existence of fashion as an industry and integral part of capitalism [MASK] it is by definition undemocratic and so further underlines the impossibility and futility of the question
",means,means,30,11,4,0,13,0,none,,sg
power,depends,depend,"The continued power of multi media entrepreneurs like Rupert Murdoch and Robert Maxwell depends on their goods being entertaining and giving the people what they want making sure people want what they 're given is not as straightforward a business in this context as it is often presented
","The continued power of multi media entrepreneurs like Rupert Murdoch and Robert Maxwell [MASK] on their goods being entertaining and giving the people what they want making sure people want what they 're given is not as straightforward a business in this context as it is often presented
",depend,depends,48,11,2,0,13,2,7,,sg
account,asserts,assert,"A more theoretically sophisticated account of processes of recovery from impairment which argues that a new healthy but disabled self can be constituted again asserts the validity of the metaphor of death
","A more theoretically sophisticated account of processes of recovery from impairment which argues that a new healthy but disabled self can be constituted again [MASK] the validity of the metaphor of death
",asserts,asserts,32,20,4,2,24,1,18,,sg
development,is,are,"A particular and in representational terms crucial development of this new activismwhich links it to other movements based on class gender colour and so on is the de biologising nature of the disability
","A particular and in representational terms crucial development of this new activismwhich links it to other movements based on class gender colour and so on [MASK] the de biologising nature of the disability
",is,is,33,18,6,2,25,2,9,,sg
view,includes,include,"The Conservative view of the benefits of privately funded education which it should be said includes education in many special schools opposes such strategies
","The Conservative view of the benefits of privately funded education which it should be said [MASK] education in many special schools opposes such strategies
",includes,include,24,13,2,2,15,1,10,,sg
reason,lies,lie,"The second reason for the importance of ocular dominance with regard to visual laterality research lies in the possibility of a relationship between ocular dominance and cerebral lateralisation
","The second reason for the importance of ocular dominance with regard to visual laterality research [MASK] in the possibility of a relationship between ocular dominance and cerebral lateralisation
",lie,lie,28,13,5,0,15,0,none,,sg
fact,means,mean,"The fact that the sensory and motor functions of each hand are represented predominantly in the contralateral cerebral cortex means that information available to one hand alone is processed largely in the opposite hemisphere
","The fact that the sensory and motor functions of each hand are represented predominantly in the contralateral cerebral cortex [MASK] that information available to one hand alone is processed largely in the opposite hemisphere
",mean,means,34,18,4,1,19,1,12,,sg
attempt,appears,appear,"The first attempt to assess cerebral dominance for language in a group of non right handed patients appears to have been that of Pratt Warrington and Halliday 1971 who tested 12 right handers and 12 so called left handers
","The first attempt to assess cerebral dominance for language in a group of non right handed patients [MASK] to have been that of Pratt Warrington and Halliday 1971 who tested 12 right handers and 12 so called left handers
",appear,appears,39,15,5,1,17,1,1,,sg
person,commits,commit,"A person who by any deception dishonestly obtains property belonging to another with the intention of permanently depriving the other of it commits that offence
","A person who by any deception dishonestly obtains property belonging to another with the intention of permanently depriving the other of it [MASK] that offence
",commits,commits,25,21,3,3,22,0,none,,sg
reading,leads,lead,"A reading of the Act of 1968 which was based on the draft Bill annexed to the reports leads me to the conclusion that when using the very words of the draft Parliament intended to implement the committee 's thinking
","A reading of the Act of 1968 which was based on the draft Bill annexed to the reports [MASK] me to the conclusion that when using the very words of the draft Parliament intended to implement the committee 's thinking
",leads,lead,40,17,2,2,18,1,1,,sg
possibility,is,are,"The possibility that the amount of the bills might be reduced on a taxation which has still not been initiated is not a sufficient reason in this case for setting aside the demand
","The possibility that the amount of the bills might be reduced on a taxation which has still not been initiated [MASK] not a sufficient reason in this case for setting aside the demand
",is,is,33,19,3,2,20,1,13,,sg
sphere,attracts,attract,"A dielectric sphere inserted into a homogeneous electric field in air or a vacuum attracts the field lines
","A dielectric sphere inserted into a homogeneous electric field in air or a vacuum [MASK] the field lines
",attract,attract,18,12,3,1,14,0,none,,sg
creak,was,were,"The shrill creak of the hinges as we were closed into the suffocating darkness of that cliff top grave was a terrifying sound
","The shrill creak of the hinges as we were closed into the suffocating darkness of that cliff top grave [MASK] a terrifying sound
",was,was,23,17,4,2,19,1,14,,sg
answer,was,were,"The minister 's answer in Parliament that the cost to the airlines of providing concessionary travel for airline employees would be nothing was exactly what in practice had been happening under the old law
","The minister 's answer in Parliament that the cost to the airlines of providing concessionary travel for airline employees would be nothing [MASK] exactly what in practice had been happening under the old law
",was,was,34,19,7,1,22,2,4,,sg
way,was,were,"The only way this impinged on the message Macmillan had been taking up to the generals in the front line was that they might now have to prepare even more urgently for military operations to reinforce allied policy
","The only way this impinged on the message Macmillan had been taking up to the generals in the front line [MASK] that they might now have to prepare even more urgently for military operations to reinforce allied policy
",was,was,38,18,3,2,20,1,5,,sg
summary,reports,report,"A 5 Corps summary of personnel surrendered to date on 17 May for instance KP 142 reports a particularly large group of 10,000 Croats from 12th Croat Division at Sittersdorf
","A 5 Corps summary of personnel surrendered to date on 17 May for instance KP 142 [MASK] a particularly large group of 10,000 Croats from 12th Croat Division at Sittersdorf
",report,reports,30,13,3,1,16,0,none,,sg
situation,was,were,"The general situation in respect of each of these groups on 21 May was as follows  1
","The general situation in respect of each of these groups on 21 May [MASK] as follows  1
",was,was,18,11,2,0,13,1,4,,sg
clinic,was,were,"The ante natal clinic proper beyond the red mouths and throats of receptions was like the whole maternity wing part of a military hospital added hastily at the beginning of the last war in anticipation of hosts of wounded soldiers who had never come there
","The ante natal clinic proper beyond the red mouths and throats of receptions [MASK] like the whole maternity wing part of a military hospital added hastily at the beginning of the last war in anticipation of hosts of wounded soldiers who had never come there
",were,was,45,10,4,0,13,3,1,,sg
rhyme,is,are,"The old school rhyme for the succession of English kings and queens is an example
","The old school rhyme for the succession of English kings and queens [MASK] an example
",is,is,15,9,4,0,12,2,1,,sg
habit,is,are,"The popular habit of listening with half an ear to a radio during study is a deliberate division of attention
","The popular habit of listening with half an ear to a radio during study [MASK] a deliberate division of attention
",is,is,20,12,3,1,14,0,none,,sg
technique,is,are,"The important technique which keeps you going as an automaton until interest and desire take over and concentration sharpens to a fine point is that of having a rigorous time table of study laid down in advance
","The important technique which keeps you going as an automaton until interest and desire take over and concentration sharpens to a fine point [MASK] that of having a rigorous time table of study laid down in advance
",is,is,37,21,5,4,23,0,none,,sg
candidate,fails,fail,"The candidate who brings his whole library to such an examination often fails the facts that he needs are lost in a multitude of pages
","The candidate who brings his whole library to such an examination often [MASK] the facts that he needs are lost in a multitude of pages
",fails,fails,25,11,2,1,12,0,none,,sg
examiner,is,are,"No examiner who has a pile of scripts in front of him is likely to spend much time trying to decipher an unreadable word or sentence
","No examiner who has a pile of scripts in front of him [MASK] likely to spend much time trying to decipher an unreadable word or sentence
",is,is,26,11,3,1,12,1,5,,sg
infusion,makes,make,"A strong infusion made with 50g/ 2oz hyssop to 600ml/1 pint/2/½ cups of water makes an excellent home remedy for sore throats when used as a gargle
","A strong infusion made with 50g/ 2oz hyssop to 600ml/1 pint/2/½ cups of water [MASK] an excellent home remedy for sore throats when used as a gargle
",make,make,27,12,3,1,14,1,3,,sg
development,leads,lead,"The development of an approach stating that the functionality of an item can be mapped on the geometric domain leads naturally to the inverse argument that the domains themselves can be seen as logical spaces
","The development of an approach stating that the functionality of an item can be mapped on the geometric domain [MASK] naturally to the inverse argument that the domains themselves can be seen as logical spaces
",leads,leads,35,18,4,2,19,0,none,,sg
part,has,have,"A part that occurs more than once in an assembly only has its new node shown at subsequent entries
","A part that occurs more than once in an assembly only [MASK] its new node shown at subsequent entries
",has,has,19,10,1,1,11,0,none,,sg
survey,is,are,"The only representative survey of users of temporary labour at present available is the Psi/Department of Employment/ACAS workplace industrial relations survey WIRS
","The only representative survey of users of temporary labour at present available [MASK] the Psi/Department of Employment/ACAS workplace industrial relations survey WIRS
",is,is,22,9,2,0,12,1,7,,sg
level,suggests,suggest,"The high level of usage of temporary workers in public administration where union density is high and formal systems of negotiation and consultation firmly established already suggests that the relationship is by no means as straightforward as the initial proposition implies and this applies also to private sector establishments
","The high level of usage of temporary workers in public administration where union density is high and formal systems of negotiation and consultation firmly established already [MASK] that the relationship is by no means as straightforward as the initial proposition implies and this applies also to private sector establishments
",suggests,suggests,49,24,8,1,26,2,8,,sg
worker,is,are,"A casual worker who without good reason fails to turn up for an assignment which he has accepted is unlikely to be offered assignments in the future
","A casual worker who without good reason fails to turn up for an assignment which he has accepted [MASK] unlikely to be offered assignments in the future
",is,is,27,16,2,3,18,0,none,,sg
fact,implies,imply,"The fact that the specialist literature for example IRS 1986a continues to make repeated reference to the particular practices of a rather limited number of organizations implies that it is not as yet a particularly common one
","The fact that the specialist literature for example IRS 1986a continues to make repeated reference to the particular practices of a rather limited number of organizations [MASK] that it is not as yet a particularly common one
",implies,implies,37,25,8,3,26,2,1,,sg
information,provides,provide,"The more limited information on employers ' use of temporary workers available from WIRS provides further evidence of the absence of any significant change
","The more limited information on employers ' use of temporary workers available from WIRS [MASK] further evidence of the absence of any significant change
",provides,provides,24,11,3,0,14,2,4,,sg
ability,means,mean,"The barn owl 's ability to locate a sound in two planes at once means that it can accurately pinpoint its prey
","The barn owl 's ability to locate a sound in two planes at once [MASK] that it can accurately pinpoint its prey
",mean,means,22,10,4,1,14,1,3,,sg
welcome,was,were,"The welcome we would receive at journey 's end and the fine meal we would have was a recurrent theme of conversation
","The welcome we would receive at journey 's end and the fine meal we would have [MASK] a recurrent theme of conversation
",were,were,22,15,2,2,16,0,none,,sg
creature,strains,strain,"A dreadful creature with the body of a hippopotamus and the head of a crocodile strains forward to devour those unfortunates who fail the judgement
","A dreadful creature with the body of a hippopotamus and the head of a crocodile [MASK] forward to devour those unfortunates who fail the judgement
",strain,strain,25,13,4,0,15,0,none,,sg
intake,increases,increase,"A high sugar intake which was part of Alan 's diet greatly increases the loss of chromium in urine
","A high sugar intake which was part of Alan 's diet greatly [MASK] the loss of chromium in urine
",increases,increases,19,9,3,0,12,0,none,,sg
way,is,are,"The most consistent way to increase metabolic rate in both obese and normal weight subjects is by physical exercise
","The most consistent way to increase metabolic rate in both obese and normal weight subjects [MASK] by physical exercise
",is,are,19,12,4,1,15,1,1,,sg
thinking,is,are,"The reverse thinking you are of normal weight when you are overweight is if anything a rarity
","The reverse thinking you are of normal weight when you are overweight [MASK] if anything a rarity
",is,is,17,10,1,0,12,0,none,,sg
number,was,were,"The average weekly number of employees of the group during the year including executive directors was as follows
","The average weekly number of employees of the group during the year including executive directors [MASK] as follows
",was,was,18,12,4,1,15,2,1,,sg
conclusion,is,are,"The conclusion that the Act of 1976 requires the justice under section 7(5) to conduct an informal inquiry into the reasons for the defendant 's arrest is consistent with the decision of this court in In re Moles 1981 Crim.L.R. 170
","The conclusion that the Act of 1976 requires the justice under section 7(5) to conduct an informal inquiry into the reasons for the defendant 's arrest [MASK] consistent with the decision of this court in In re Moles 1981 Crim.L.R. 170
",is,is,41,25,6,2,26,1,6,,sg
oligarchy,is,are,"No oligarchy ever reforms itself willingly from within and almost the only Areopagite with the necessary combination of prestige and radical views to have brought about such a reform is Themistokles
","No oligarchy ever reforms itself willingly from within and almost the only Areopagite with the necessary combination of prestige and radical views to have brought about such a reform [MASK] Themistokles
",are,is,31,28,5,1,29,2,8,,sg
inscription,suggests,suggest,"A newly discovered fifth century inscription recording an alliance between Sparta and a people called the Erxadieis in Aitolia ML 67 bis suggests that Sparta normally had the obligation to help her league allies if they were attacked if anyone marches against the Erxadieis with warlike intent Sparta is to help with all possible force that she did not intervene to help Aigina is the measure of her lack of will to fight
","A newly discovered fifth century inscription recording an alliance between Sparta and a people called the Erxadieis in Aitolia ML 67 bis [MASK] that Sparta normally had the obligation to help her league allies if they were attacked if anyone marches against the Erxadieis with warlike intent Sparta is to help with all possible force that she did not intervene to help Aigina is the measure of her lack of will to fight
",suggest,suggests,73,17,4,3,22,0,none,,sg
part,is,are,"The other part of the explanations for the initiative tacitly granted to generals is the need for confidentiality and secret co ordination between geographically separated forces
","The other part of the explanations for the initiative tacitly granted to generals [MASK] the need for confidentiality and secret co ordination between geographically separated forces
",is,are,26,11,3,1,13,2,1,,sg
